"trip_id","arrival_time","departure_time","stop_id","stop_sequence","pickup_type","drop_off_type"
"GO102_22_V4_2","00:39:00","00:40:00","102","1","0","0"
"GO102_22_V4_2","01:22:00","01:22:00","27","2","0","0"
"GO102_22_V4_2","01:28:00","01:28:00","26","3","0","0"
"GO102_22_V4_2","01:33:00","01:33:00","100","4","0","0"
"GO102_22_V4_2","01:36:00","01:36:00","74","5","0","0"
"GO102_22_V4_2","01:40:00","01:40:00","157","6","0","0"
"GO102_22_V4_2","01:45:00","01:45:00","204","7","0","0"
"GO102_22_V4_2","01:52:00","01:52:00","163","8","0","0"
"GO102_22_V4_2","01:58:00","01:58:00","21","9","0","0"
"GO102_22_V4_2","02:05:00","02:05:00","140","10","0","0"
"GO102_22_V4_2","02:21:00","02:21:00","198","11","0","0"
"GO102_22_V4_2","02:27:00","02:27:00","233","12","0","0"
"GO102_22_V4_2","02:38:00","02:38:00","83","13","0","0"
"GO102_22_V4_2","02:50:00","02:50:00","191","14","0","0"
"GO102_22_V4_2","02:58:00","02:58:00","13","15","0","0"
"GO102_22_V4_2","03:08:00","03:08:00","48","16","0","0"
"GO102_22_V4_2","03:13:00","03:13:00","4","17","0","0"
"GO102_22_V4_2","03:33:00","03:33:00","141","18","0","0"
"GO102_22_V4_3","00:41:00","00:41:00","141","1","0","0"
"GO102_22_V4_3","01:00:00","01:00:00","4","2","0","0"
"GO102_22_V4_3","01:05:00","01:05:00","48","3","0","0"
"GO102_22_V4_3","01:15:00","01:15:00","13","4","0","0"
"GO102_22_V4_3","01:24:00","01:24:00","191","5","0","0"
"GO102_22_V4_3","01:34:00","01:34:00","83","6","0","0"
"GO102_22_V4_3","01:44:00","01:44:00","233","7","0","0"
"GO102_22_V4_3","01:51:00","01:51:00","198","8","0","0"
"GO102_22_V4_3","02:09:00","02:09:00","140","9","0","0"
"GO102_22_V4_3","02:16:00","02:16:00","21","10","0","0"
"GO102_22_V4_3","02:24:00","02:24:00","163","11","0","0"
"GO102_22_V4_3","02:31:00","02:31:00","204","12","0","0"
"GO102_22_V4_3","02:36:00","02:36:00","157","13","0","0"
"GO102_22_V4_3","02:40:00","02:40:00","74","14","0","0"
"GO102_22_V4_3","02:43:00","02:43:00","100","15","0","0"
"GO102_22_V4_3","02:48:00","02:48:00","26","16","0","0"
"GO102_22_V4_3","02:54:00","02:54:00","27","17","0","0"
"GO102_22_V4_3","03:32:00","03:32:00","102","18","0","0"
"GO102_22_V4_4","08:18:00","08:18:00","102","1","0","0"
"GO102_22_V4_4","08:57:00","08:57:00","27","2","0","0"
"GO102_22_V4_4","09:21:00","09:21:00","163","3","0","0"
"GO102_22_V4_4","09:27:00","09:27:00","21","4","0","0"
"GO102_22_V4_4","09:34:00","09:34:00","140","5","0","0"
"GO102_22_V4_4","09:50:00","09:50:00","198","6","0","0"
"GO102_22_V4_4","09:56:00","09:56:00","233","7","0","0"
"GO102_22_V4_4","10:05:00","10:05:00","83","8","0","0"
"GO102_22_V4_4","10:15:00","10:15:00","191","9","0","0"
"GO102_22_V4_4","10:23:00","10:23:00","13","10","0","0"
"GO102_22_V4_4","10:33:00","10:33:00","48","11","0","0"
"GO102_22_V4_4","10:38:00","10:38:00","4","12","0","0"
"GO102_22_V4_4","10:58:00","10:58:00","141","13","0","0"
"GO102_22_V4_5","04:32:00","04:32:00","191","1","0","0"
"GO102_22_V4_5","04:42:00","04:42:00","83","2","0","0"
"GO102_22_V4_5","04:51:00","04:51:00","233","3","0","0"
"GO102_22_V4_5","04:59:00","04:59:00","198","4","0","0"
"GO102_22_V4_5","05:16:00","05:16:00","140","5","0","0"
"GO102_22_V4_5","05:23:00","05:23:00","21","6","0","0"
"GO102_22_V4_5","05:30:00","05:30:00","163","7","0","0"
"GO102_22_V4_5","05:37:00","05:37:00","204","8","0","0"
"GO102_22_V4_5","05:41:00","05:41:00","157","9","0","0"
"GO102_22_V4_5","05:45:00","05:45:00","74","10","0","0"
"GO102_22_V4_5","05:49:00","05:49:00","100","11","0","0"
"GO102_22_V4_5","05:54:00","05:54:00","26","12","0","0"
"GO102_22_V4_5","06:00:00","06:00:00","27","13","0","0"
"GO102_22_V4_5","06:37:00","06:38:00","102","14","0","0"
"GO102_22_V4_5","06:56:00","06:56:00","237","15","0","0"
"GO102_22_V4_7","05:48:00","05:48:00","141","1","0","0"
"GO102_22_V4_7","06:07:00","06:07:00","4","2","0","0"
"GO102_22_V4_7","06:12:00","06:12:00","48","3","0","0"
"GO102_22_V4_7","06:22:00","06:22:00","13","4","0","0"
"GO102_22_V4_7","06:31:00","06:31:00","191","5","0","0"
"GO102_22_V4_7","06:41:00","06:41:00","83","6","0","0"
"GO102_22_V4_7","06:50:00","06:50:00","233","7","0","0"
"GO102_22_V4_7","06:57:00","06:57:00","198","8","0","0"
"GO102_22_V4_7","07:14:00","07:14:00","140","9","0","0"
"GO102_22_V4_7","07:21:00","07:21:00","21","10","0","0"
"GO102_22_V4_7","07:28:00","07:28:00","163","11","0","0"
"GO102_22_V4_7","07:35:00","07:35:00","204","12","0","0"
"GO102_22_V4_7","07:48:00","07:48:00","27","13","0","0"
"GO102_22_V4_7","08:07:00","08:07:00","92","14","0","0"
"GO102_22_V4_7","08:15:00","08:15:00","132","15","0","0"
"GO102_22_V4_7","08:29:00","08:31:00","102","16","0","0"
"GO102_22_V4_7","08:48:00","08:48:00","90","17","0","0"
"GO102_22_V4_7","08:57:00","08:57:00","118","18","0","0"
"GO102_22_V4_8","11:36:00","11:41:00","102","1","0","0"
"GO102_22_V4_8","12:19:00","12:19:00","27","2","0","0"
"GO102_22_V4_8","12:25:00","12:25:00","26","3","0","0"
"GO102_22_V4_8","12:35:00","12:35:00","204","4","0","0"
"GO102_22_V4_8","12:43:00","12:43:00","163","5","0","0"
"GO102_22_V4_8","12:49:00","12:49:00","21","6","0","0"
"GO102_22_V4_8","12:56:00","12:56:00","140","7","0","0"
"GO102_22_V4_8","13:12:00","13:12:00","198","8","0","0"
"GO102_22_V4_8","13:18:00","13:18:00","233","9","0","0"
"GO102_22_V4_8","13:27:00","13:27:00","83","10","0","0"
"GO102_22_V4_8","13:37:00","13:37:00","191","11","0","0"
"GO102_22_V4_8","13:45:00","13:45:00","13","12","0","0"
"GO102_22_V4_8","13:55:00","13:55:00","48","13","0","0"
"GO102_22_V4_8","14:00:00","14:00:00","4","14","0","0"
"GO102_22_V4_8","14:20:00","14:20:00","141","15","0","0"
"GO102_22_V4_13","11:36:00","11:36:00","141","1","0","0"
"GO102_22_V4_13","11:55:00","11:55:00","4","2","0","0"
"GO102_22_V4_13","12:00:00","12:00:00","48","3","0","0"
"GO102_22_V4_13","12:10:00","12:10:00","13","4","0","0"
"GO102_22_V4_13","12:19:00","12:19:00","191","5","0","0"
"GO102_22_V4_13","12:29:00","12:29:00","83","6","0","0"
"GO102_22_V4_13","12:39:00","12:39:00","233","7","0","0"
"GO102_22_V4_13","12:46:00","12:46:00","198","8","0","0"
"GO102_22_V4_13","13:01:00","13:01:00","140","9","0","0"
"GO102_22_V4_13","13:08:00","13:08:00","21","10","0","0"
"GO102_22_V4_13","13:18:00","13:18:00","163","11","0","0"
"GO102_22_V4_13","13:25:00","13:25:00","204","12","0","0"
"GO102_22_V4_13","13:30:00","13:30:00","157","13","0","0"
"GO102_22_V4_13","13:34:00","13:34:00","74","14","0","0"
"GO102_22_V4_13","13:37:00","13:37:00","100","15","0","0"
"GO102_22_V4_13","13:42:00","13:42:00","26","16","0","0"
"GO102_22_V4_13","13:48:00","13:48:00","27","17","0","0"
"GO102_22_V4_13","14:29:00","14:30:00","102","18","0","0"
"GO102_22_V4_14","16:07:00","16:07:00","237","1","0","0"
"GO102_22_V4_14","17:39:00","17:39:00","233","2","0","0"
"GO102_22_V4_14","17:59:00","17:59:00","191","3","0","0"
"GO102_22_V4_14","18:07:00","18:07:00","13","4","0","0"
"GO102_22_V4_14","18:17:00","18:17:00","48","5","0","0"
"GO102_22_V4_14","18:38:00","18:38:00","141","6","0","0"
"GO102_22_V4_17","14:50:00","14:50:00","141","1","0","0"
"GO102_22_V4_17","15:09:00","15:09:00","4","2","0","0"
"GO102_22_V4_17","15:14:00","15:14:00","48","3","0","0"
"GO102_22_V4_17","15:24:00","15:24:00","13","4","0","0"
"GO102_22_V4_17","15:33:00","15:33:00","191","5","0","0"
"GO102_22_V4_17","15:43:00","15:43:00","83","6","0","0"
"GO102_22_V4_17","15:53:00","15:53:00","233","7","0","0"
"GO102_22_V4_17","16:00:00","16:00:00","198","8","0","0"
"GO102_22_V4_17","17:25:00","17:26:00","102","9","0","0"
"GO102_22_V4_18","16:30:00","16:30:00","90","1","0","0"
"GO102_22_V4_18","16:46:00","16:48:00","102","2","0","0"
"GO102_22_V4_18","17:35:00","17:35:00","26","3","0","0"
"GO102_22_V4_18","17:40:00","17:40:00","100","4","0","0"
"GO102_22_V4_18","17:43:00","17:43:00","74","5","0","0"
"GO102_22_V4_18","17:47:00","17:47:00","157","6","0","0"
"GO102_22_V4_18","17:50:00","17:50:00","204","7","0","0"
"GO102_22_V4_18","17:57:00","17:57:00","163","8","0","0"
"GO102_22_V4_18","18:03:00","18:03:00","21","9","0","0"
"GO102_22_V4_18","18:10:00","18:10:00","140","10","0","0"
"GO102_22_V4_18","18:26:00","18:26:00","198","11","0","0"
"GO102_22_V4_18","18:32:00","18:32:00","233","12","0","0"
"GO102_22_V4_18","18:41:00","18:41:00","83","13","0","0"
"GO102_22_V4_18","18:51:00","18:51:00","191","14","0","0"
"GO102_22_V4_18","18:59:00","18:59:00","13","15","0","0"
"GO102_22_V4_18","19:09:00","19:09:00","48","16","0","0"
"GO102_22_V4_18","19:14:00","19:14:00","4","17","0","0"
"GO102_22_V4_18","19:34:00","19:34:00","141","18","0","0"
"GO102_22_V4_21","22:10:00","22:10:00","141","1","0","0"
"GO102_22_V4_21","22:29:00","22:29:00","4","2","0","0"
"GO102_22_V4_21","22:34:00","22:34:00","48","3","0","0"
"GO102_22_V4_21","22:44:00","22:44:00","13","4","0","0"
"GO102_22_V4_21","22:58:00","22:58:00","191","5","0","0"
"GO102_22_V4_21","23:08:00","23:08:00","83","6","0","0"
"GO102_22_V4_21","23:18:00","23:18:00","233","7","0","0"
"GO102_22_V4_21","23:25:00","23:25:00","198","8","0","0"
"GO102_22_V4_21","23:40:00","23:40:00","140","9","0","0"
"GO102_22_V4_21","23:47:00","23:47:00","21","10","0","0"
"GO102_22_V4_21","23:53:00","23:53:00","163","11","0","0"
"GO102_22_V4_21","24:00:00","24:00:00","204","12","0","0"
"GO102_22_V4_21","24:05:00","24:05:00","157","13","0","0"
"GO102_22_V4_21","24:09:00","24:09:00","74","14","0","0"
"GO102_22_V4_21","24:12:00","24:12:00","100","15","0","0"
"GO102_22_V4_21","24:17:00","24:17:00","26","16","0","0"
"GO102_22_V4_21","24:23:00","24:23:00","27","17","0","0"
"GO102_22_V4_21","25:00:00","25:00:00","102","18","0","0"
"GO102_22_V4_22","18:30:00","18:31:00","102","1","0","0"
"GO102_22_V4_22","19:14:00","19:14:00","27","2","0","0"
"GO102_22_V4_22","19:20:00","19:20:00","26","3","0","0"
"GO102_22_V4_22","19:25:00","19:25:00","100","4","0","0"
"GO102_22_V4_22","19:28:00","19:28:00","74","5","0","0"
"GO102_22_V4_22","19:32:00","19:32:00","157","6","0","0"
"GO102_22_V4_22","19:37:00","19:37:00","204","7","0","0"
"GO102_22_V4_22","19:44:00","19:44:00","163","8","0","0"
"GO102_22_V4_22","19:50:00","19:50:00","21","9","0","0"
"GO102_22_V4_22","19:57:00","19:57:00","140","10","0","0"
