shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
5D287D06,40.7357205437,-73.4721938808,786
5D287D06,40.7353621235,-73.4716472643,787
5D287D06,40.7349916779,-73.4711151196,788
5D287D06,40.7346201441,-73.4705842231,789
5D287D06,40.7342593477,-73.4700403236,790
5D287D06,40.7338964727,-73.4694989083,791
5D287D06,40.7335236508,-73.4689693312,792
5D287D06,40.7331669462,-73.4684211493,793
5D287D06,40.7328406017,-73.4678412755,794
5D287D06,40.7325421824,-73.4672358561,795
5D287D06,40.7322756446,-73.4666053342,796
5D287D06,40.7320334343,-73.4659578551,797
5D287D06,40.7318118638,-73.4652977706,798
5D287D06,40.7316073874,-73.4646282386,799
5D287D06,40.7314205171,-73.4639497566,800
5D287D06,40.7312441985,-73.4632663922,801
5D287D06,40.7310697456,-73.4625821737,802
5D287D06,40.7308949894,-73.4618980911,803
5D287D06,40.7307195921,-73.4612142935,804
5D287D06,40.7305442331,-73.4605304808,805
5D287D06,40.7303690731,-73.4598465818,806
5D287D06,40.7301939336,-73.4591626756,807
5D287D06,40.7300181666,-73.4584790493,808
5D287D06,40.7298430496,-73.457795137,809
5D287D06,40.7296682209,-73.4571110987,810
5D287D06,40.7294931926,-73.4564271504,811
5D287D06,40.7293182612,-73.455743161,812
5D287D06,40.7291432724,-73.4550591987,813
5D287D06,40.7289682517,-73.4543752525,814
5D287D06,40.7287938459,-73.4536910368,815
5D287D06,40.7286179643,-73.453007478,816
5D287D06,40.7284414781,-73.4523241884,817
5D287D06,40.7282658912,-73.4516405006,818
5D287D06,40.7280916839,-73.4509562054,819
5D287D06,40.7279160821,-73.4502725291,820
5D287D06,40.7277401717,-73.4495889903,821
5D287D06,40.7275650789,-73.4489050903,822
5D287D06,40.7273906319,-73.4482209071,823
5D287D06,40.727215773,-73.447536908,824
5D287D06,40.7270399891,-73.4468533197,825
5D287D06,40.7268644381,-73.4461696299,826
5D287D06,40.7266890124,-73.4454858862,827
5D287D06,40.7265136971,-73.4448020954,828
5D287D06,40.7263390722,-73.4441180019,829
5D287D06,40.7261648063,-73.443433752,830
5D287D06,40.7259892831,-73.442750059,831
5D287D06,40.7258136213,-73.442066429,832
5D287D06,40.725637763,-73.4413828882,833
5D287D06,40.7254617874,-73.4406994013,834
5D287D06,40.7252865829,-73.440015575,835
5D287D06,40.7251122741,-73.4393313541,836
5D287D06,40.7249379401,-73.4386471462,837
5D287D06,40.724763285,-73.4379630815,838
5D287D06,40.7245885377,-73.4372790593,839
5D287D06,40.7244139908,-73.4365949505,840
5D287D06,40.7242395066,-73.4359108159,841
5D287D06,40.7240649301,-73.4352267237,842
5D287D06,40.7238906061,-73.4345425222,843
5D287D06,40.7237164902,-73.4338582307,844
5D287D06,40.7235423604,-73.4331739473,845
5D287D06,40.7233676772,-73.4324899095,846
5D287D06,40.7231926748,-73.4318060143,847
5D287D06,40.7230176731,-73.4311221206,848
5D287D06,40.72284275,-73.4304381939,849
5D287D06,40.7226678528,-73.4297542576,850
5D287D06,40.7224929828,-73.429070311,851
5D287D06,40.7223182473,-73.4283863069,852
5D287D06,40.7221435238,-73.4277022992,853
5D287D06,40.7219688056,-73.427018291,854
5D287D06,40.7217941333,-73.4263342644,855
5D287D06,40.7216195218,-73.4256502127,856
5D287D06,40.7214451887,-73.4249660402,857
5D287D06,40.7212710052,-73.4242818038,858
5D287D06,40.7210963724,-73.4235977669,859
5D287D06,40.7209217035,-73.4229137477,860
5D287D06,40.7207468905,-73.4222297939,861
5D287D06,40.7205719925,-73.4215458794,862
5D287D06,40.7203971439,-73.4208619449,863
5D287D06,40.720222542,-73.4201779033,864
5D287D06,40.7200481866,-73.419493755,865
5D287D06,40.7198736899,-73.4188096706,866
5D287D06,40.7196989908,-73.4181256773,867
5D287D06,40.7195243424,-73.4174416633,868
5D287D06,40.7193497742,-73.4167576158,869
5D287D06,40.719175301,-73.4160735283,870
5D287D06,40.7190010034,-73.4153893652,871
5D287D06,40.7188265477,-73.4147052735,872
5D287D06,40.7186520026,-73.4140212229,873
5D287D06,40.7184773567,-73.4133372186,874
5D287D06,40.7183019614,-73.4126535516,875
5D287D06,40.7181265612,-73.4119698994,876
5D287D06,40.7179522765,-73.4112857424,877
5D287D06,40.7177782746,-73.4106014655,878
5D287D06,40.7176033163,-73.4099176117,879
5D287D06,40.7174293445,-73.4092333217,880
5D287D06,40.7172546048,-73.4085493716,881
5D287D06,40.7170797814,-73.4078654599,882
5D287D06,40.7169052763,-73.4071814098,883
5D287D06,40.7167307177,-73.4064973854,884
5D287D06,40.7165554564,-73.4058136728,885
5D287D06,40.7163808597,-73.4051296685,886
5D287D06,40.7162063352,-73.4044456342,887
5D287D06,40.7160307225,-73.4037620831,888
5D287D06,40.7158549769,-73.403078593,889
5D287D06,40.7156810767,-73.4023942908,890
5D287D06,40.7155073993,-73.4017098919,891
5D287D06,40.7153323001,-73.4010261205,892
5D287D06,40.7151578203,-73.4003420774,893
5D287D06,40.714983617,-73.3996579141,894
5D287D06,40.7148088465,-73.3989740031,895
5D287D06,40.7146327795,-73.3982906687,896
5D287D06,40.714458148,-73.3976067002,897
5D287D06,40.7142838148,-73.3969226011,898
5D287D06,40.7141091907,-73.396238632,899
5D287D06,40.7139343962,-73.3955547399,900
5D287D06,40.7137596793,-73.3948708153,901
5D287D06,40.7135852721,-73.394186756,902
5D287D06,40.7134108637,-73.393502699,903
5D287D06,40.713236299,-73.3928187127,904
5D287D06,40.7130611858,-73.3921349722,905
5D287D06,40.7128851149,-73.3914516631,906
5D287D06,40.7127098312,-73.3907680018,907
5D287D06,40.7125265688,-73.3900880626,908
5D287D06,40.7123256798,-73.3894167587,909
5D287D06,40.7121061998,-73.3887556646,910
5D287D06,40.7118703468,-73.3881042644,911
5D287D06,40.711629778,-73.3874558114,912
5D287D06,40.7113878461,-73.3868082391,913
5D287D06,40.7111444696,-73.3861616012,914
5D287D06,40.7109012907,-73.3855148373,915
5D287D06,40.7106582211,-73.3848680047,916
5D287D06,40.710415227,-73.3842211258,917
5D287D06,40.7101733879,-73.3835735027,918
5D287D06,40.7099315688,-73.3829258683,919
5D287D06,40.7096884502,-73.3822790795,920
5D287D06,40.7094445024,-73.3816328305,921
5D287D06,40.7092015367,-73.3809859448,922
5D287D06,40.7089589611,-73.3803388087,923
5D287D06,40.7087156264,-73.3796921674,924
5D287D06,40.7084725279,-73.3790453753,925
5D287D06,40.7082301538,-73.3783981158,926
5D287D06,40.707987277,-73.3777511842,927
5D287D06,40.707744304,-73.3771043172,928
5D287D06,40.7075014511,-73.3764573747,929
5D287D06,40.707258623,-73.3758104185,930
5D287D06,40.7070154509,-73.3751636878,931
5D287D06,40.7067722324,-73.3745169898,932
5D287D06,40.7065296632,-73.373869873,933
5D287D06,40.7062881107,-73.373222103,934
5D287D06,40.7060468379,-73.3725741549,935
5D287D06,40.705804695,-73.3719267696,936
5D287D06,40.705562005,-73.3712797405,937
5D287D06,40.7053190866,-73.3706328615,938
5D287D06,40.7050759792,-73.3699861076,939
5D287D06,40.7048329583,-73.3693392998,940
5D287D06,40.704590096,-73.3686923916,941
5D287D06,40.7043472079,-73.3680455024,942
5D287D06,40.70410429,-73.367398635,943
5D287D06,40.7038608628,-73.3667521013,944
5D287D06,40.7036168712,-73.3661059373,945
5D287D06,40.7033740058,-73.3654590431,946
5D287D06,40.7031306563,-73.3648124656,947
5D287D06,40.702887182,-73.3641659716,948
5D287D06,40.7026447337,-73.3635188147,949
5D287D06,40.7024032209,-73.362871056,950
5D287D06,40.7021611101,-73.3622236855,951
5D287D06,40.7019187501,-73.361576478,952
5D287D06,40.7016765528,-73.3609291678,953
5D287D06,40.7014331378,-73.3602826501,954
5D287D06,40.7011892415,-73.3596364468,955
5D287D06,40.700945383,-73.3589902212,956
5D287D06,40.7007013833,-73.35834409,957
5D287D06,40.7004574098,-73.3576979441,958
5D287D06,40.7002139567,-73.3570514623,959
5D287D06,40.6999710693,-73.356404615,960
5D287D06,40.6997282229,-73.3557577435,961
5D287D06,40.6994855128,-73.3551107861,962
5D287D06,40.699242331,-73.3544641377,963
