"service_id","date","exception_type"
"33EB3A89","20240408","1"
"33EB3A89","20240409","1"
"33EB3A89","20240410","1"
"33EB3A89","20240411","1"
"33EB3A89","20240412","1"
"33EB3A89","20240415","1"
"33EB3A89","20240416","1"
"33EB3A89","20240417","1"
"33EB3A89","20240418","1"
"33EB3A89","20240419","1"
"33EB3A89","20240422","1"
"33EB3A89","20240423","1"
"33EB3A89","20240424","1"
"33EB3A89","20240425","1"
"33EB3A89","20240426","1"
"33EB3A89","20240429","1"
"33EB3A89","20240430","1"
"33EB3A89","20240501","1"
"33EB3A89","20240502","1"
"33EB3A89","20240503","1"
"33EB3A89","20240506","1"
"33EB3A89","20240507","1"
"33EB3A89","20240508","1"
"33EB3A89","20240509","1"
"33EB3A89","20240510","1"
"33EB3A89","20240513","1"
"33EB3A89","20240514","1"
"33EB3A89","20240515","1"
"33EB3A89","20240516","1"
"33EB3A89","20240517","1"
"F18E26F0","20240413","1"
"F18E26F0","20240414","1"
"F18E26F0","20240420","1"
"F18E26F0","20240421","1"
"F18E26F0","20240427","1"
"F18E26F0","20240428","1"
"F18E26F0","20240504","1"
"F18E26F0","20240505","1"
"F18E26F0","20240511","1"
"F18E26F0","20240512","1"
"F18E26F0","20240518","1"
"F18E26F0","20240519","1"
"14836E9C","20240409","1"
"14836E9C","20240410","1"
"14836E9C","20240411","1"
"14836E9C","20240412","1"
"14836E9C","20240416","1"
"14836E9C","20240417","1"
"14836E9C","20240418","1"
"14836E9C","20240419","1"
"14836E9C","20240423","1"
"14836E9C","20240424","1"
"14836E9C","20240425","1"
"14836E9C","20240426","1"
"14836E9C","20240430","1"
"14836E9C","20240501","1"
"14836E9C","20240502","1"
"14836E9C","20240503","1"
"14836E9C","20240507","1"
"14836E9C","20240508","1"
"14836E9C","20240509","1"
"14836E9C","20240510","1"
"14836E9C","20240514","1"
"14836E9C","20240515","1"
"14836E9C","20240516","1"
"14836E9C","20240517","1"
"108E9848","20240412","1"
"108E9848","20240419","1"
"108E9848","20240426","1"
"108E9848","20240503","1"
"108E9848","20240510","1"
"108E9848","20240517","1"
"EBE14735","20240504","1"
"EBE14735","20240505","1"
"EBE14735","20240511","1"
"EBE14735","20240512","1"
"EBE14735","20240518","1"
"EBE14735","20240519","1"
"33FF04A5","20240413","1"
"33FF04A5","20240420","1"
"33FF04A5","20240427","1"
"33FF04A5","20240504","1"
"33FF04A5","20240511","1"
"33FF04A5","20240518","1"
"055C6AED","20240408","1"
"055C6AED","20240410","1"
"055C6AED","20240412","1"
"055C6AED","20240415","1"
"055C6AED","20240416","1"
"055C6AED","20240418","1"
"055C6AED","20240419","1"
"055C6AED","20240422","1"
"055C6AED","20240423","1"
"055C6AED","20240424","1"
"055C6AED","20240425","1"
"055C6AED","20240426","1"
"055C6AED","20240429","1"
"055C6AED","20240430","1"
"055C6AED","20240501","1"
"055C6AED","20240502","1"
"055C6AED","20240506","1"
"055C6AED","20240507","1"
"055C6AED","20240508","1"
"055C6AED","20240510","1"
"055C6AED","20240513","1"
"055C6AED","20240514","1"
"055C6AED","20240515","1"
"055C6AED","20240516","1"
"055C6AED","20240517","1"
"0B787C6C","20240409","1"
"0B787C6C","20240411","1"
"0B787C6C","20240417","1"
"0B787C6C","20240503","1"
"0B787C6C","20240509","1"
"81F30A61","20240511","1"
"81F30A61","20240512","1"
"81F30A61","20240518","1"
"81F30A61","20240519","1"
"896EF571","20240413","1"
"896EF571","20240414","1"
"896EF571","20240420","1"
"896EF571","20240421","1"
"896EF571","20240427","1"
"896EF571","20240428","1"
"896EF571","20240504","1"
"896EF571","20240505","1"
"78F4C64C","20240413","1"
"78F4C64C","20240420","1"
"78F4C64C","20240427","1"
"78F4C64C","20240504","1"
"35846906","20240408","1"
"35846906","20240409","1"
"35846906","20240410","1"
"35846906","20240411","1"
"35846906","20240415","1"
"35846906","20240416","1"
"35846906","20240417","1"
"35846906","20240418","1"
"35846906","20240422","1"
"35846906","20240423","1"
"35846906","20240424","1"
"35846906","20240425","1"
"35846906","20240429","1"
"35846906","20240430","1"
"35846906","20240501","1"
"35846906","20240502","1"
"35846906","20240506","1"
"35846906","20240507","1"
"35846906","20240508","1"
"35846906","20240509","1"
"35846906","20240510","1"
"35846906","20240513","1"
"35846906","20240514","1"
"35846906","20240515","1"
"35846906","20240516","1"
"35846906","20240517","1"
"33862E43","20240412","1"
"33862E43","20240419","1"
"33862E43","20240426","1"
"33862E43","20240503","1"
"EBD64933","20240409","1"
"EBD64933","20240410","1"
"EBD64933","20240411","1"
"EBD64933","20240412","1"
"EBD64933","20240416","1"
"EBD64933","20240417","1"
"EBD64933","20240418","1"
"EBD64933","20240419","1"
"EBD64933","20240423","1"
"EBD64933","20240424","1"
"EBD64933","20240425","1"
"EBD64933","20240426","1"
"EBD64933","20240430","1"
"EBD64933","20240501","1"
"EBD64933","20240502","1"
"EBD64933","20240503","1"
"EBD64933","20240507","1"
"EBD64933","20240508","1"
"EBD64933","20240509","1"
"EBD64933","20240510","1"
"EBD64933","20240513","1"
"EBD64933","20240514","1"
"EBD64933","20240515","1"
"EBD64933","20240516","1"
"EBD64933","20240517","1"
"7D053999","20240408","1"
"7D053999","20240415","1"
"7D053999","20240422","1"
"7D053999","20240429","1"
"7D053999","20240506","1"
"B9E834D9","20240408","1"
"B9E834D9","20240414","1"
"B9E834D9","20240415","1"
"B9E834D9","20240421","1"
"B9E834D9","20240422","1"
"B9E834D9","20240428","1"
"B9E834D9","20240429","1"
"B9E834D9","20240505","1"
"B9E834D9","20240506","1"
"0C931D03","20240420","1"
"0C931D03","20240421","1"
"0C931D03","20240427","1"
"0C931D03","20240428","1"
"0C931D03","20240504","1"
"0C931D03","20240505","1"
"0C931D03","20240511","1"
"0C931D03","20240512","1"
"0C931D03","20240518","1"
"0C931D03","20240519","1"
"4A5128F2","20240413","1"
"4A5128F2","20240414","1"
"89F5F446","20240415","1"
"89F5F446","20240416","1"
"89F5F446","20240417","1"
"89F5F446","20240418","1"
"89F5F446","20240419","1"
"89F5F446","20240422","1"
"89F5F446","20240423","1"
"89F5F446","20240424","1"
"89F5F446","20240425","1"
"89F5F446","20240426","1"
"89F5F446","20240429","1"
"89F5F446","20240430","1"
"89F5F446","20240501","1"
"89F5F446","20240502","1"
"89F5F446","20240503","1"
"89F5F446","20240506","1"
"89F5F446","20240507","1"
"89F5F446","20240508","1"
"89F5F446","20240509","1"
"89F5F446","20240510","1"
"89F5F446","20240513","1"
"89F5F446","20240514","1"
