track,platform,neither
2,1,4
8,11,13
16,14,21
23,20,36
24,25,48
27,26,73
38,29,83
39,31,85
50,32,86
55,33,124
63,40,126
64,42,129
65,44,131
84,51,140
90,52,142
92,56,153
102,59,154
107,66,162
113,67,163
117,68,164
118,71,176
122,72,190
125,74,191
127,76,193
130,77,198
132,78,216
135,89,219
136,91,223
141,94,233
152,99,
171,100,
179,101,
180,111,
183,114,
184,119,
187,120,
199,123,
211,148,
213,149,
214,155,
215,157,
225,165,
226,175,
237,182,
241,185,
349,195,
359,202,
,204,
,205,
,217,
,220,
