service_id,date,exception_type
9454,20220118,1
9454,20220119,1
9454,20220120,1
9449,20220121,1
9461,20220122,1
9462,20220123,1
9463,20220124,1
9464,20220125,1
9464,20220126,1
9464,20220127,1
9469,20220128,1
9470,20220129,1
9468,20220130,1
9463,20220131,1
9464,20220201,1
9464,20220202,1
9464,20220203,1
9469,20220204,1
9473,20220205,1
9474,20220206,1
9463,20220207,1
9464,20220208,1
9464,20220209,1
9464,20220210,1
9469,20220211,1
9473,20220212,1
9474,20220213,1
9476,20220214,1
9477,20220215,1
9479,20220216,1
9481,20220217,1
9482,20220218,1
9483,20220219,1
9484,20220220,1
9485,20220221,1
9481,20220222,1
9481,20220223,1
9481,20220224,1
9482,20220225,1
9473,20220226,1
9474,20220227,1
9476,20220228,1
9481,20220301,1
9481,20220302,1
9481,20220303,1
9482,20220304,1
9473,20220305,1
9474,20220306,1
9476,20220307,1
9481,20220308,1
9481,20220309,1
9481,20220310,1
9482,20220311,1
9473,20220312,1
9474,20220313,1
9476,20220314,1
9481,20220315,1
9481,20220316,1
9481,20220317,1
9482,20220318,1
9473,20220319,1
9474,20220320,1
9476,20220321,1
9481,20220322,1
9481,20220323,1
9481,20220324,1
9482,20220325,1
9473,20220326,1
