from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
112,112,,,246002124600215+388567+0,246002124600215+388490+0,1,
112,112,,,246002124600215+388571+0,246002124600215+388491+0,1,
124,124,,,246002124600215+388686+0,246002124600215+388509+0,1,
124,124,,,246002124600215+388905+0,246002124600215+388509+0,1,
124,124,,,246002124600215+388691+0,246002124600215+388516+1,1,
124,124,,,246002124600215+388700+1,246002124600215+388524+1,1,
124,124,,,246002124600215+388706+1,246002124600215+388542+1,1,
124,124,,,246002124600215+388728+1,246002124600215+388562+1,1,
124,124,,,246002124600215+388738+1,246002124600215+388567+0,1,
124,124,,,246002124600215+388744+0,246002124600215+388571+0,1,
124,124,,,246002124600215+388860+0,246002124600215+388571+0,1,
124,124,,,246002124600215+388750+0,246002124600215+388577+0,1,
124,124,,,246002124600215+388862+0,246002124600215+388577+0,1,
124,124,,,246002124600215+388755+0,246002124600215+388578+0,1,
124,124,,,246002124600215+388757+0,246002124600215+388579+0,1,
124,124,,,246002124600215+388866+0,246002124600215+388579+0,1,
124,124,,,246002124600215+388760+0,246002124600215+388582+0,1,
124,124,,,246002124600215+388763+0,246002124600215+388583+0,1,
124,124,,,246002124600215+388870+0,246002124600215+388583+0,1,
124,124,,,246002124600215+388767+0,246002124600215+388584+0,1,
124,124,,,246002124600215+388769+0,246002124600215+388588+0,1,
124,124,,,246002124600215+388874+0,246002124600215+388588+0,1,
124,124,,,246002124600215+388774+0,246002124600215+388593+0,1,
124,124,,,246002124600215+388778+0,246002124600215+388596+0,1,
124,124,,,246002124600215+388876+0,246002124600215+388596+0,1,
124,124,,,246002124600215+388780+0,246002124600215+388597+0,1,
124,124,,,246002124600215+388782+0,246002124600215+388599+0,1,
124,124,,,246002124600215+388878+0,246002124600215+388599+0,1,
124,124,,,246002124600215+388787+0,246002124600215+388601+0,1,
124,124,,,246002124600215+388791+0,246002124600215+388604+0,1,
124,124,,,246002124600215+388882+0,246002124600215+388604+0,1,
124,124,,,246002124600215+388795+0,246002124600215+388606+0,1,
124,124,,,246002124600215+388799+0,246002124600215+388609+0,1,
124,124,,,246002124600215+388807+0,246002124600215+388611+0,1,
124,124,,,246002124600285+389197+0,246002124600215+388611+0,1,
124,124,,,246002124600215+388814+0,246002124600215+388616+0,1,
124,124,,,246002124600215+388823+0,246002124600215+388625+0,1,
124,124,,,246002124600215+388894+0,246002124600215+388625+0,1,
124,124,,,246002124600215+388835+0,246002124600215+388644+0,1,
124,124,,,246002124600215+388900+0,246002124600215+388644+0,1,
124,124,,,246002124600215+388837+0,246002124600215+388645+0,1,
124,124,,,246002124600215+388902+0,246002124600215+388645+0,1,
124,124,,,246002124600215+388534+0,246002124600215+388661+0,1,
124,124,,,246002124600215+388915+1,246002124600215+388670+1,1,
131,131,,,246002124600215+388915+1,246002124600215+388670+1,1,
124,124,,,246002124600215+388862+0,246002124600215+388673+0,1,
124,124,,,246002124600215+388905+0,246002124600215+388686+0,1,
131,131,,,246002124600215+388944+0,246002124600215+388686+0,1,
140,140,,,246002124600215+388980+0,246002124600215+388686+0,1,
124,124,,,246002124600215+388510+0,246002124600215+388688+0,1,
124,124,,,246002124600215+388514+0,246002124600215+388689+0,1,
124,124,,,246002124600215+388653+0,246002124600215+388693+0,1,
116,116,,,246002124600215+388519+0,246002124600215+388694+1,1,
124,124,,,246002124600215+388519+0,246002124600215+388694+1,1,
116,116,,,246002124600215+388522+1,246002124600215+388698+1,1,
124,124,,,246002124600215+388522+1,246002124600215+388698+1,1,
140,140,,,246002124600215+388949+1,246002124600215+388703+1,1,
116,116,,,246002124600215+388525+1,246002124600215+388704+1,1,
124,124,,,246002124600215+388525+1,246002124600215+388704+1,1,
124,124,,,246002124600215+388528+1,246002124600215+388708+1,1,
124,124,,,246002124600215+388530+1,246002124600215+388709+0,1,
124,124,,,246002124600215+388538+0,246002124600215+388712+0,1,
124,124,,,246002124600215+388540+0,246002124600215+388714+0,1,
124,124,,,246002124600215+388543+0,246002124600215+388716+0,1,
140,140,,,246002124600215+388953+1,246002124600215+388718+1,1,
124,124,,,246002124600215+388545+0,246002124600215+388719+0,1,
140,140,,,246002124600215+388953+1,246002124600215+388720+1,1,
124,124,,,246002124600215+388548+0,246002124600215+388721+0,1,
