route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,peak_offpeak
3,9422,10762266,Grand Central Terminal,1299,1,,5,1,0
3,9422,10762267,Stamford,1300,0,,16,1,0
3,9422,10762268,Grand Central Terminal,1301,1,,5,1,0
3,9422,10762269,Stamford,1302,0,,16,1,0
3,9422,10762270,Grand Central Terminal,1303,1,,5,1,0
3,9422,10762271,Stamford,1304,0,,16,1,0
3,9422,10762272,Grand Central Terminal,1305,1,,5,1,0
3,9422,10762273,Stamford,1306,0,,16,1,0
3,9422,10762274,Stamford,1308,0,,16,1,0
3,9422,10762275,Grand Central Terminal,1309,1,,5,1,0
3,9422,10762276,Stamford,1310,0,,16,1,0
3,9422,10762277,Stamford,1312,0,,16,1,0
3,9422,10762278,Stamford,1314,0,,16,1,0
3,9422,10762279,Stamford,1316,0,,16,1,0
3,9422,10762280,Stamford,1318,0,,16,1,0
3,9422,10762281,Stamford,1320,0,,16,1,0
3,9422,10762282,Grand Central Terminal,1321,1,,5,1,0
3,9422,10762283,Stamford,1322,0,,16,1,0
3,9422,10762284,Stamford,1326,0,,16,1,0
3,9422,10762285,Stamford,1330,0,,16,1,0
3,9422,10762286,Stamford,1334,0,,16,1,0
3,9422,10762287,Grand Central Terminal,1335,1,,5,1,0
3,9422,10762288,Stamford,1336,0,,16,1,0
3,9422,10762289,Stamford,1338,0,,16,1,0
3,9422,10762290,Stamford,1340,0,,16,1,0
3,9422,10762291,Stamford,1342,0,,16,1,0
3,9422,10762292,Stamford,1346,0,,16,1,0
3,9422,10762293,Grand Central Terminal,1347,1,,5,1,0
3,9422,10762294,Grand Central Terminal,1351,1,,5,1,0
3,9422,10762295,Stamford,1352,0,,16,1,0
3,9422,10762296,Grand Central Terminal,1355,1,,5,1,0
3,9422,10762297,Grand Central Terminal,1359,1,,5,1,0
3,9422,10762298,Stamford,1360,0,,16,1,0
3,9422,10762299,Grand Central Terminal,1361,1,,5,1,0
3,9422,10762300,Old Greenwich,1362,0,,16,1,0
3,9422,10762301,Grand Central Terminal,1363,1,,5,1,0
3,9422,10762302,Grand Central Terminal,1365,1,,5,1,0
3,9422,10762303,Grand Central Terminal,1367,1,,5,1,0
3,9422,10762304,Stamford,1368,0,,16,1,0
3,9422,10762305,Grand Central Terminal,1369,1,,5,1,0
3,9422,10762307,Grand Central Terminal,1371,1,,5,1,0
3,9422,10762308,Grand Central Terminal,1373,1,,5,1,0
