service_id,date,exception_type
1,20230304,1
1,20230305,1
1,20230311,1
1,20230312,1
1,20230318,1
1,20230319,1
1,20230325,1
1,20230326,1
1,20230401,1
2,20230301,1
2,20230302,1
2,20230303,1
2,20230306,1
2,20230307,1
2,20230308,1
2,20230309,1
2,20230310,1
2,20230313,1
2,20230314,1
2,20230315,1
2,20230316,1
2,20230317,1
2,20230320,1
2,20230321,1
2,20230322,1
2,20230323,1
2,20230324,1
2,20230327,1
2,20230328,1
2,20230329,1
2,20230330,1
2,20230331,1
3,20230304,1
3,20230305,1
3,20230311,1
3,20230312,1
3,20230318,1
3,20230319,1
3,20230325,1
3,20230326,1
4,20230301,1
4,20230302,1
4,20230303,1
4,20230306,1
4,20230307,1
4,20230308,1
4,20230309,1
4,20230310,1
4,20230313,1
4,20230314,1
4,20230315,1
4,20230316,1
4,20230317,1
4,20230320,1
4,20230321,1
4,20230322,1
4,20230323,1
4,20230324,1
4,20230327,1
4,20230330,1
4,20230331,1
5,20230329,1
6,20230328,1
7,20230328,1
7,20230329,1
8,20230304,1
9,20230304,1
9,20230311,1
9,20230318,1
9,20230325,1
9,20230401,1
9,20230408,1
9,20230415,1
9,20230422,1
9,20230429,1
9,20230506,1
9,20230513,1
9,20230520,1
9,20230527,1
9,20230603,1
9,20230610,1
9,20230617,1
9,20230624,1
9,20230701,1
9,20230708,1
9,20230715,1
9,20230722,1
9,20230729,1
9,20230805,1
9,20230812,1
9,20230819,1
9,20230826,1
10,20230305,1
10,20230312,1
10,20230319,1
10,20230326,1
10,20230402,1
10,20230409,1
10,20230416,1
10,20230423,1
10,20230430,1
10,20230507,1
10,20230514,1
10,20230521,1
10,20230528,1
10,20230604,1
10,20230611,1
10,20230618,1
10,20230625,1
10,20230702,1
10,20230709,1
10,20230716,1
10,20230723,1
10,20230730,1
10,20230806,1
10,20230813,1
10,20230820,1
10,20230827,1
11,20230301,1
11,20230302,1
11,20230303,1
11,20230306,1
11,20230307,1
11,20230308,1
11,20230309,1
11,20230310,1
11,20230313,1
11,20230314,1
11,20230315,1
11,20230316,1
11,20230317,1
11,20230320,1
11,20230321,1
11,20230322,1
11,20230323,1
11,20230324,1
11,20230327,1
11,20230328,1
11,20230329,1
11,20230330,1
11,20230331,1
11,20230403,1
11,20230404,1
11,20230405,1
11,20230406,1
11,20230407,1
11,20230410,1
11,20230411,1
11,20230412,1
11,20230413,1
11,20230414,1
11,20230417,1
11,20230418,1
11,20230419,1
11,20230420,1
11,20230421,1
11,20230424,1
11,20230425,1
11,20230426,1
11,20230427,1
11,20230428,1
11,20230501,1
11,20230502,1
11,20230503,1
11,20230504,1
11,20230505,1
11,20230508,1
11,20230509,1
11,20230510,1
11,20230511,1
11,20230512,1
11,20230515,1
11,20230516,1
11,20230517,1
11,20230518,1
11,20230519,1
11,20230522,1
11,20230523,1
11,20230524,1
11,20230525,1
11,20230526,1
11,20230529,1
11,20230530,1
11,20230531,1
11,20230601,1
11,20230602,1
11,20230605,1
11,20230606,1
11,20230607,1
11,20230608,1
11,20230609,1
11,20230612,1
11,20230613,1
11,20230614,1
11,20230615,1
11,20230616,1
11,20230619,1
11,20230620,1
11,20230621,1
11,20230622,1
11,20230623,1
11,20230626,1
11,20230627,1
11,20230628,1
11,20230629,1
11,20230630,1
11,20230703,1
11,20230704,1
11,20230705,1
11,20230706,1
11,20230707,1
11,20230710,1
11,20230711,1
11,20230712,1
11,20230713,1
11,20230714,1
11,20230717,1
11,20230718,1
11,20230719,1
11,20230720,1
11,20230721,1
11,20230724,1
11,20230725,1
11,20230726,1
11,20230727,1
11,20230728,1
11,20230731,1
11,20230801,1
11,20230802,1
11,20230803,1
11,20230804,1
11,20230807,1
11,20230808,1
11,20230809,1
11,20230810,1
11,20230811,1
11,20230814,1
11,20230815,1
11,20230816,1
11,20230817,1
11,20230818,1
11,20230821,1
11,20230822,1
11,20230823,1
11,20230824,1
11,20230825,1
12,20230303,1
12,20230304,1
12,20230310,1
12,20230311,1
12,20230317,1
12,20230318,1
12,20230324,1
12,20230325,1
12,20230331,1
13,20230301,1
13,20230302,1
13,20230305,1
13,20230306,1
13,20230307,1
13,20230308,1
13,20230309,1
13,20230312,1
13,20230313,1
13,20230314,1
13,20230315,1
13,20230316,1
13,20230319,1
13,20230320,1
13,20230321,1
13,20230322,1
13,20230323,1
13,20230326,1
13,20230327,1
13,20230330,1
14,20230303,1
14,20230310,1
14,20230317,1
14,20230324,1
14,20230331,1
15,20230304,1
15,20230311,1
15,20230318,1
15,20230325,1
16,20230305,1
17,20230303,1
17,20230304,1
17,20230305,1
17,20230310,1
17,20230311,1
17,20230312,1
17,20230317,1
17,20230318,1
17,20230319,1
17,20230324,1
17,20230325,1
17,20230326,1
17,20230331,1
18,20230301,1
18,20230302,1
18,20230306,1
18,20230307,1
18,20230308,1
18,20230309,1
18,20230313,1
18,20230314,1
18,20230315,1
18,20230316,1
18,20230320,1
18,20230321,1
18,20230322,1
18,20230323,1
18,20230327,1
18,20230330,1
19,20230305,1
19,20230312,1
19,20230319,1
19,20230326,1
